MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,28,HerDet,BnthDw,5.67,3.46,8.751
2,28,Omnivr,PelgAs,5.851,3.516,9.031
2,28,Omnivr,PelgDw,5.275,3.143,8.414
2,28,Omnivr,BtPlAs,5.282,3.079,8.184
2,28,Omnivr,BtPlDw,5.69,3.444,8.838
2,28,Omnivr,BnthAs,5.535,3.262,8.831
2,28,Omnivr,BnthDw,5.29,3.326,8.15
2,28,Plktiv,PelgAs,7.242,4.67,10.925
2,28,Plktiv,PelgDw,6.614,4.27,10.215
2,28,Plktiv,BtPlAs,6.295,3.832,9.476
2,28,Plktiv,BtPlDw,7.026,4.685,10.553
2,28,Plktiv,BnthAs,6.751,4.238,10.5
2,28,Plktiv,BnthDw,6.577,4.283,9.96
2,28,InvSes,PelgAs,7.727,4.978,11.869
2,28,InvSes,PelgDw,7.023,4.341,11.004
2,28,InvSes,BtPlAs,6.861,4.212,10.904
2,28,InvSes,BtPlDw,7.472,4.758,11.305
2,28,InvSes,BnthAs,7.126,4.448,11.489
2,28,InvSes,BnthDw,6.883,4.414,10.492
2,28,InvMob,PelgAs,7.411,4.896,10.819
2,28,InvMob,PelgDw,6.802,4.337,10.186
2,28,InvMob,BtPlAs,6.347,3.977,9.469
2,28,InvMob,BtPlDw,7.157,4.699,10.449
2,28,InvMob,BnthAs,6.79,4.23,10.267
2,28,InvMob,BnthDw,6.768,4.617,9.757
2,28,FisCep,PelgAs,7.022,4.39,10.575
2,28,FisCep,PelgDw,6.421,3.94,9.858
2,28,FisCep,BtPlAs,6.062,3.731,9.299
2,28,FisCep,BtPlDw,6.902,4.235,10.573
2,28,FisCep,BnthAs,6.483,4.03,10.141
2,28,FisCep,BnthDw,5.726,3.683,8.892
2,30,HerMac,PelgAs,8.192,6.036,11.181
2,30,HerMac,PelgDw,7.63,5.454,10.631
2,30,HerMac,BtPlAs,6.19,4.39,9.095
2,30,HerMac,BtPlDw,9.08,6.626,12.209
2,30,HerMac,BnthAs,7.058,4.744,10.233
2,30,HerMac,BnthDw,7.718,5.815,10.367
2,30,HerDet,PelgAs,6.893,4.623,10.022
2,30,HerDet,PelgDw,6.453,4.154,9.448
2,30,HerDet,BtPlAs,5.317,3.425,8.281
2,30,HerDet,BtPlDw,7.678,5.087,11.172
2,30,HerDet,BnthAs,6.028,3.808,9.498
2,30,HerDet,BnthDw,6.498,4.274,9.61
2,30,Omnivr,PelgAs,6.508,4.372,9.421
2,30,Omnivr,PelgDw,6.038,3.921,8.934
2,30,Omnivr,BtPlAs,5.125,3.354,7.731
2,30,Omnivr,BtPlDw,7.146,4.766,10.406
2,30,Omnivr,BnthAs,5.644,3.472,8.634
2,30,Omnivr,BnthDw,6.072,4.104,8.681
